"type","name","size","width","delay","content","color","alignment","barrier","visible"
"text","Lumi_says","1.25em","",0.7,"<b>Now listen to how Lumi would say it</b>","","center","",""
"image","empty","","5%","","whitespace_harmony1.png","","","",""
"text","tlakapo_feedback_text","2em","",2,"tlakapo","","center","",""
"audio","tlakapo_feedback_aud","","",2,"tlakapo_harmony1.mp3","","",false,false
"text","forpa_feedback_text","2em","",2,"forpa","","center","",""
"audio","forpa_feedback_aud","","",2,"forpa_harmony1.mp3","","",false,false
"text","kmodu_feedback_text","2em","",2,"kmodu","","center","",""
"audio","kmodu_feedback_aud","","",2,"kmodu_harmony1.mp3","","",false,false
"text","speak2Instr1_text","","","","TBD. Learn 3.","","center","",""
"text","speak3Instr1_text","","","","TBD","","center","",""
"video","chef_bandit_tap1_vid","","400px","","chef_bandit_tap1.mp4","","",false,""
"text","forpa_kmodu_fsel_feedback_text","2em","",2,"forpa kmodu fsel","","center","",""
"audio","forpa_kmodu_fsel_feedback_aud","","",2,"forpa_kmodu_fsel_harmony1.mp3","","",false,false
"video","chef_bandit_tap2_vid","","400px","","chef_bandit_tap2.mp4","","",false,""
"text","forpaka_fsel_kmodu_feedback_text","2em","",2,"forpaka fsel kmodu","","center","",""
"audio","forpaka_fsel_kmodu_feedback_aud","","",2,"forpaka_fsel_kmodu_harmony1.mp3","","",false,false
"video","chef_bandit_tap3_vid","","400px","","chef_bandit_tap3.mp4","","",false,""
"text","fsel_forpa_pokmodu_feedback_text","2em","",2,"fsel forpa pokmodu","","center","",""
"audio","fsel_forpa_pokmodu_feedback_aud","","",2,"fsel_forpa_pokmodu_harmony1.mp3","","",false,false
"video","chef_bandit_tap4_vid","","400px","","chef_bandit_tap4.mp4","","",false,""
"text","po_text","2em","","","po","","center","",""
"audio","po_aud","","","","po_harmony1.mp3","","",false,false
"text","kuvfsel_kmodu_tusforpa_feedback_text","2em","",2,"kuvfsel kmodu tusforpa","","center","",""
"audio","kuvfsel_kmodu_tusforpa_feedback_aud","","",2,"kuvfsel_kmodu_tusforpa_harmony1.mp3","","",false,false
"video","chef_bandit_tap5_vid","","400px","","chef_bandit_tap5.mp4","","",false,""
"text","ka_text","2em","","","ka","","center","",""
"audio","ka_aud","","","","ka_harmony1.mp3","","",false,false
"text","kmodupoo_forpa_fsellav_feedback_text","2em","",2,"kmodupoo forpa fsellav","","center","",""
"audio","kmodupoo_forpa_fsellav_feedback_aud","","",2,"kmodupoo_forpa_fsellav_harmony1.mp3","","",false,false
